前缀类别,是否完整,DRV_LIBS,GH_HRV_pre_pv_v1.0.1.0,GH_HR_bas_pv_v1.0.2.0,GH_HR_exc_pv_v2.0.2.0,GH_HR_med_pv_v1.0.2.0,GH_HR_pre_pv_v1.0.2.0,GH_NADT_pre_pv_v1.0.2.0,GH_SPO2_bas_pv_v2.1.10.0,GH_SPO2_pre_pv_v2.1.10.0,dlCom_bas2med_pv_v1.0.0,dlCom_pre2exc_pv_v1.3.0,dsp_pv_v1.3.0
cortex-m4_iar-armcc-8.22.2.15995_om,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_keil-armcc-5.06_o0,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_keil-armcc-5.06_o0+hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_keil-armcc-5.06_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_keil-armcc-5.06_o2+soft,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_keil-armcc-5.06_o3,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_keil-armcc-5.06_ospace,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m55_arm-gcc-10.3_o2+hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m55_arm-gcc-10.3_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m55_armclang-mdk531_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m55_armclang-mdk531_os+soft,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cortex-m7_keil-armcc-5.06_o3,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-r4_arm-gcc-10.3_os+soft,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-r5_armcc-5.06u4_ospace,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortexM4,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cortexM55,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
esp32_xtensa-esp32-gcc-13.2.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
